,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62
0,1.0,,District/City,Total Cases in District,Total,Updated Date,,07 July 2020,08 July 2020,09 July 2020,10 July 2020,11 July 2020,12 July 2020,13 July 2020,14 July 2020,15 July 2020,16 July 2020,17 July 2020,18 July 2020,19 July 2020,20 July 2020,21 July 2020,22 July 2020,23 July 2020,24 July 2020,25 July 2020,26 July 2020,27 July 2020,28 July 2020,29 July 2020,30 July 2020,31 July 2020,01 August 2020,02 August 2020,03 August 2020,04 August 2020,05 August 2020,06 August 2020,07 August 2020,08 August 2020,09 August 2020,10 August 2020,11 August 2020,12 August 2020,13 August 2020,14 August 2020,15 August 2020,16 August 2020,17 August 2020,18 August 2020,19 August 2020,20 August 2020,21 August 2020,22 August 2020,23 August 2020,24 August 2020,25 August 2020,26 August 2020,27 August 2020,28 August 2020,29 August 2020,30 August 2020,31 August 2020
55,55.0,Barishal,Barishal,2691,6473,05.07.2020,,1775,30,54,10,29,9,30,34,52,26,37,20,18,43,44,31,25,38,8,13,30,39,31,19,28,6,1,17,27,12,45,26,6,41,37,,,,,,,,,,,,,,,,,,,,,
56,56.0,Barishal,Patuakhali,1122,6473,05.07.2020,,572,7,27,33,36,13,20,15,29,22,40,44,11,24,12,24,24,7,5,17,14,7,14,8,11,9,0,10,6,5,15,6,13,10,12,,,,,,,,,,,,,,,,,,,,,
57,57.0,Barishal,Pirojpur,817,6473,04.07.2020,,313,5,26,30,15,17,0,10,17,10,38,34,12,20,1,49,9,8,3,27,21,21,25,15,12,1,0,10,4,0,12,7,10,2,18,15,,,,,,,,,,,,,,,,,,,,
58,58.0,Barishal,Jhalokathi,538,6473,05.07.2020,,289,16,2,14,9,6,10,10,6,17,5,6,16,0,2,9,8,6,7,1,22,1,15,11,5,0,0,6,6,4,0,16,1,6,0,6,,,,,,,,,,,,,,,,,,,,
59,59.0,Rajshahi,Joypurhat,830,14998,08.13.2020,,511,0,0,5,34,0,0,0,47,1,0,27,2,0,24,4,1,3,2,0,4,2,41,0,2,4,46,1,1,18,2,0,23,11,0,3,1,10,,,,,,,,,,,,,,,,,,
60,60.0,Rajshahi,Pabna,896,14998,08.13.2020,,597,2,0,0,0,0,0,0,15,13,1,43,0,0,22,3,28,18,4,76,0,0,0,21,0,0,9,0,0,0,0,0,19,0,4,5,0,16,,,,,,,,,,,,,,,,,,
61,61.0,Rajshahi,Chapainawabganj,568,14998,08.13.2020,,101,15,6,35,17,3,22,26,2,0,14,45,5,0,27,0,0,0,14,84,0,0,4,28,0,0,36,0,3,3,26,1,2,29,0,1,0,19,,,,,,,,,,,,,,,,,,
62,62.0,Rajshahi,Bogura,5515,14998,08.13.2020,,3446,55,50,57,48,55,52,45,70,45,57,71,69,60,47,84,59,50,26,59,50,71,61,50,74,64,19,32,64,8,51,45,86,56,66,90,56,67,,,,,,,,,,,,,,,,,,
63,63.0,Rajshahi,Natore,667,14998,08.13.2020,,253,3,1,7,17,13,11,0,0,1,21,13,10,11,35,1,0,1,3,0,6,8,34,38,14,1,0,52,0,0,0,0,84,0,0,0,1,38,,,,,,,,,,,,,,,,,,
64,64.0,Rajshahi,Naogaon,1026,14998,08.13.2020,,584,2,1,39,48,0,2,3,17,41,3,39,0,8,60,2,3,7,68,2,0,1,1,13,0,1,27,0,0,1,1,0,30,9,0,3,0,24,,,,,,,,,,,,,,,,,,
65,65.0,Rajshahi,Sirajganj,1673,14998,08.13.2020,,690,30,24,42,5,32,26,33,37,33,34,38,19,16,24,47,50,34,30,27,23,21,46,23,8,48,16,16,16,13,18,20,30,14,16,10,39,25,,,,,,,,,,,,,,,,,,
66,66.0,Rajshahi,Rajshahi,3823,14998,08.13.2020,,1278,60,77,54,43,89,81,106,73,60,53,65,69,97,75,71,78,83,91,66,82,115,109,80,89,53,44,51,82,38,81,75,40,42,13,25,58,77,,,,,,,,,,,,,,,,,,
67,67.0,,Total,201565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
